condition,cohort,session,parcellation,simplex_1,simplex_2,num_na_simplex_1,num_na_simplex_2,t_statistic,degree_of_freedom,p_value,cohens_d,significance_bonferroni
raw_features,one,LR,schaefer100x7,edge,node,0,0,58.9827319659157,393,2.49601387486807e-197,2.97150710798403,***
raw_features,one,LR,schaefer100x7,edge,triangle,0,0,17.5534183055636,393,2.40572578786976e-51,0.884328438610491,***
raw_features,one,LR,schaefer100x7,triangle,node,0,0,23.8436418439533,393,2.31584241547369e-78,1.20122532236173,***
raw_features,two,LR,schaefer100x7,edge,node,0,0,52.6796572829565,318,3.85501283906354e-159,2.94949455924483,***
raw_features,two,LR,schaefer100x7,edge,triangle,0,0,14.6821207332723,318,1.28345003515606e-37,0.822040944350884,***
raw_features,two,LR,schaefer100x7,triangle,node,0,0,23.1196566546918,318,4.51810061822411e-70,1.29445226168326,***
raw_features,one,RL,schaefer100x7,edge,node,0,0,59.9160743125962,396,1.15894779625292e-200,3.00710156986214,***
raw_features,one,RL,schaefer100x7,edge,triangle,0,1,13.3144888249577,395,1.13849746032918e-33,0.669078237996435,***
raw_features,one,RL,schaefer100x7,triangle,node,1,0,27.0500130987143,395,6.19525740549279e-92,1.35931430337325,***
raw_features,one,LR,schaefer200x7,edge,node,1,0,67.1051907731979,392,5.17291815286308e-217,3.38500909703969,***
coherence,one,LR,schaefer100x7,edge,node,6,1,42.3022814730378,386,5.17175889289825e-147,2.1503458154819,***
coherence,one,LR,schaefer100x7,edge,triangle,6,9,51.3036208775215,378,2.17313967688976e-172,2.63528999127459,***
coherence,one,LR,schaefer100x7,triangle,node,9,1,-0.0550513058904794,384,0.9561262201424,-0.00280567434320564,0
pca_variance_threshold_90,one,LR,schaefer100x7,edge,node,0,0,28.9100984830044,393,2.53018796127889e-99,1.45646972039899,***
pca_variance_threshold_90,one,LR,schaefer100x7,edge,triangle,0,0,16.4706154715936,393,1.0077067674403e-46,0.829777619914155,***
pca_variance_threshold_90,one,LR,schaefer100x7,triangle,node,0,0,7.1200164260929,393,5.16988855241163e-12,0.358701245498839,***
pca_fixed_components_30,one,LR,schaefer100x7,edge,node,3,0,10.8811782570774,390,2.92746124894646e-24,0.550284837339133,***
pca_fixed_components_30,one,LR,schaefer100x7,edge,triangle,3,18,34.0613033302204,372,2.13877592185031e-116,1.76362743458614,***
pca_fixed_components_30,one,LR,schaefer100x7,triangle,node,18,0,-22.9447964800299,375,2.03552508622617e-73,-1.18328752902934,***
pca_fixed_components_40,one,LR,schaefer100x7,edge,node,5,0,4.62975787047744,405,4.9383910752814e-06,0.229771025127832,***
pca_fixed_components_40,one,LR,schaefer100x7,edge,triangle,5,5,29.8023575360523,400,1.2518270193479e-103,1.4882587146603,***
pca_fixed_components_40,one,LR,schaefer100x7,triangle,node,5,0,-25.2621707698443,405,3.13402109202695e-85,-1.25374048430375,***
